"","ID","two_clusters"
"ENSG00000257138","ENSG00000257138",1
"ENSG00000257042","ENSG00000257042",1
"ENSG00000257022","ENSG00000257022",1
"ENSG00000257017","ENSG00000257017",1
"ENSG00000256947","ENSG00000256947",1
"ENSG00000256803","ENSG00000256803",1
"ENSG00000256660","ENSG00000256660",1
"ENSG00000256581","ENSG00000256581",1
"ENSG00000256557","ENSG00000256557",1
"ENSG00000256357","ENSG00000256357",1
"ENSG00000256249","ENSG00000256249",1
"ENSG00000256171","ENSG00000256171",1
"ENSG00000256079","ENSG00000256079",1
"ENSG00000255882","ENSG00000255882",1
"ENSG00000255858","ENSG00000255858",1
"ENSG00000255808","ENSG00000255808",1
"ENSG00000255807","ENSG00000255807",1
"ENSG00000255801","ENSG00000255801",1
"ENSG00000255794","ENSG00000255794",1
"ENSG00000255521","ENSG00000255521",1
"ENSG00000255484","ENSG00000255484",1
"ENSG00000255443","ENSG00000255443",1
"ENSG00000255441","ENSG00000255441",1
"ENSG00000255398","ENSG00000255398",1
"ENSG00000255393","ENSG00000255393",1
"ENSG00000255366","ENSG00000255366",1
"ENSG00000255328","ENSG00000255328",1
"ENSG00000255256","ENSG00000255256",1
"ENSG00000255221","ENSG00000255221",1
"ENSG00000255177","ENSG00000255177",1
"ENSG00000255040","ENSG00000255040",1
"ENSG00000254979","ENSG00000254979",1
"ENSG00000254946","ENSG00000254946",1
"ENSG00000254911","ENSG00000254911",1
"ENSG00000254865","ENSG00000254865",1
"ENSG00000254826","ENSG00000254826",1
"ENSG00000254814","ENSG00000254814",1
"ENSG00000254789","ENSG00000254789",1
"ENSG00000254765","ENSG00000254765",1
"ENSG00000254750","ENSG00000254750",1
"ENSG00000254695","ENSG00000254695",1
"ENSG00000254649","ENSG00000254649",1
"ENSG00000254582","ENSG00000254582",1
"ENSG00000254554","ENSG00000254554",1
"ENSG00000254527","ENSG00000254527",1
"ENSG00000254423","ENSG00000254423",1
"ENSG00000254420","ENSG00000254420",1
"ENSG00000254415","ENSG00000254415",1
"ENSG00000254362","ENSG00000254362",1
"ENSG00000254288","ENSG00000254288",1
"ENSG00000254177","ENSG00000254177",1
"ENSG00000254060","ENSG00000254060",1
"ENSG00000253872","ENSG00000253872",1
"ENSG00000253755","ENSG00000253755",1
"ENSG00000253593","ENSG00000253593",1
"ENSG00000253471","ENSG00000253471",1
"ENSG00000253358","ENSG00000253358",1
"ENSG00000253314","ENSG00000253314",1
"ENSG00000253270","ENSG00000253270",1
"ENSG00000253269","ENSG00000253269",1
"ENSG00000253214","ENSG00000253214",1
"ENSG00000253148","ENSG00000253148",1
"ENSG00000253125","ENSG00000253125",1
"ENSG00000253123","ENSG00000253123",1
"ENSG00000253115","ENSG00000253115",1
"ENSG00000253111","ENSG00000253111",1
"ENSG00000252908","ENSG00000252908",1
"ENSG00000252904","ENSG00000252904",1
"ENSG00000252892","ENSG00000252892",1
"ENSG00000252750","ENSG00000252750",1
"ENSG00000252503","ENSG00000252503",1
"ENSG00000252452","ENSG00000252452",1
"ENSG00000252172","ENSG00000252172",1
"ENSG00000251726","ENSG00000251726",1
"ENSG00000251682","ENSG00000251682",1
"ENSG00000251613","ENSG00000251613",1
"ENSG00000251456","ENSG00000251456",1
"ENSG00000251393","ENSG00000251393",1
"ENSG00000251379","ENSG00000251379",1
"ENSG00000251372","ENSG00000251372",1
"ENSG00000251299","ENSG00000251299",1
"ENSG00000251288","ENSG00000251288",1
"ENSG00000251230","ENSG00000251230",1
"ENSG00000251218","ENSG00000251218",1
"ENSG00000251215","ENSG00000251215",1
"ENSG00000251203","ENSG00000251203",1
"ENSG00000251196","ENSG00000251196",1
"ENSG00000251194","ENSG00000251194",1
"ENSG00000251139","ENSG00000251139",1
"ENSG00000251127","ENSG00000251127",1
"ENSG00000251011","ENSG00000251011",1
"ENSG00000250814","ENSG00000250814",1
"ENSG00000250771","ENSG00000250771",1
"ENSG00000250739","ENSG00000250739",1
"ENSG00000250604","ENSG00000250604",1
"ENSG00000250548","ENSG00000250548",1
"ENSG00000250501","ENSG00000250501",1
"ENSG00000250362","ENSG00000250362",1
"ENSG00000250274","ENSG00000250274",1
"ENSG00000250210","ENSG00000250210",1
"ENSG00000250174","ENSG00000250174",1
"ENSG00000250095","ENSG00000250095",1
"ENSG00000249930","ENSG00000249930",1
"ENSG00000249781","ENSG00000249781",1
"ENSG00000249662","ENSG00000249662",1
"ENSG00000249545","ENSG00000249545",1
"ENSG00000249454","ENSG00000249454",1
"ENSG00000249453","ENSG00000249453",1
"ENSG00000249381","ENSG00000249381",1
"ENSG00000249334","ENSG00000249334",1
"ENSG00000249309","ENSG00000249309",1
"ENSG00000249304","ENSG00000249304",1
"ENSG00000249175","ENSG00000249175",1
"ENSG00000249173","ENSG00000249173",1
"ENSG00000249138","ENSG00000249138",1
"ENSG00000249112","ENSG00000249112",1
"ENSG00000249084","ENSG00000249084",1
"ENSG00000249069","ENSG00000249069",1
"ENSG00000248996","ENSG00000248996",1
"ENSG00000248949","ENSG00000248949",1
"ENSG00000248873","ENSG00000248873",1
"ENSG00000248587","ENSG00000248587",1
"ENSG00000248527","ENSG00000248527",1
"ENSG00000248455","ENSG00000248455",1
"ENSG00000248397","ENSG00000248397",1
"ENSG00000248349","ENSG00000248349",1
"ENSG00000248323","ENSG00000248323",1
"ENSG00000248187","ENSG00000248187",1
"ENSG00000248079","ENSG00000248079",1
"ENSG00000244734","ENSG00000244734",1
"ENSG00000244694","ENSG00000244694",1
"ENSG00000244558","ENSG00000244558",1
"ENSG00000244482","ENSG00000244482",1
"ENSG00000244361","ENSG00000244361",1
"ENSG00000244306","ENSG00000244306",1
"ENSG00000244247","ENSG00000244247",1
"ENSG00000244081","ENSG00000244081",1
"ENSG00000243902","ENSG00000243902",1
"ENSG00000243806","ENSG00000243806",1
"ENSG00000243797","ENSG00000243797",1
"ENSG00000243319","ENSG00000243319",1
"ENSG00000243316","ENSG00000243316",1
"ENSG00000243273","ENSG00000243273",1
"ENSG00000243179","ENSG00000243179",1
"ENSG00000243089","ENSG00000243089",1
"ENSG00000243055","ENSG00000243055",1
"ENSG00000243018","ENSG00000243018",1
"ENSG00000242970","ENSG00000242970",1
"ENSG00000242882","ENSG00000242882",1
"ENSG00000242578","ENSG00000242578",1
"ENSG00000242525","ENSG00000242525",1
"ENSG00000242371","ENSG00000242371",1
"ENSG00000242324","ENSG00000242324",1
"ENSG00000242321","ENSG00000242321",1
"ENSG00000242111","ENSG00000242111",1
"ENSG00000241926","ENSG00000241926",1
"ENSG00000241886","ENSG00000241886",1
"ENSG00000241846","ENSG00000241846",1
"ENSG00000241721","ENSG00000241721",1
"ENSG00000241684","ENSG00000241684",1
"ENSG00000241599","ENSG00000241599",1
"ENSG00000241319","ENSG00000241319",1
"ENSG00000241307","ENSG00000241307",1
"ENSG00000241211","ENSG00000241211",1
"ENSG00000241157","ENSG00000241157",1
"ENSG00000241135","ENSG00000241135",1
"ENSG00000240925","ENSG00000240925",1
"ENSG00000240796","ENSG00000240796",1
"ENSG00000240767","ENSG00000240767",1
"ENSG00000240666","ENSG00000240666",1
"ENSG00000240531","ENSG00000240531",1
"ENSG00000240457","ENSG00000240457",1
"ENSG00000240247","ENSG00000240247",1
"ENSG00000240097","ENSG00000240097",1
"ENSG00000240074","ENSG00000240074",1
"ENSG00000240047","ENSG00000240047",1
"ENSG00000240023","ENSG00000240023",1
"ENSG00000239998","ENSG00000239998",1
"ENSG00000239948","ENSG00000239948",1
"ENSG00000239839","ENSG00000239839",1
"ENSG00000239648","ENSG00000239648",1
"ENSG00000239627","ENSG00000239627",1
"ENSG00000239503","ENSG00000239503",1
"ENSG00000239322","ENSG00000239322",1
"ENSG00000238966","ENSG00000238966",1
"ENSG00000238300","ENSG00000238300",1
"ENSG00000238201","ENSG00000238201",1
"ENSG00000238063","ENSG00000238063",1
"ENSG00000238057","ENSG00000238057",1
"ENSG00000238012","ENSG00000238012",1
"ENSG00000238005","ENSG00000238005",1
"ENSG00000237992","ENSG00000237992",1
"ENSG00000237974","ENSG00000237974",1
"ENSG00000237927","ENSG00000237927",1
"ENSG00000237904","ENSG00000237904",1
"ENSG00000237879","ENSG00000237879",1
"ENSG00000237852","ENSG00000237852",1
"ENSG00000237848","ENSG00000237848",1
"ENSG00000237803","ENSG00000237803",1
"ENSG00000237766","ENSG00000237766",1
"ENSG00000237734","ENSG00000237734",1
"ENSG00000237593","ENSG00000237593",1
"ENSG00000237576","ENSG00000237576",1
"ENSG00000237499","ENSG00000237499",1
"ENSG00000237483","ENSG00000237483",1
"ENSG00000237478","ENSG00000237478",1
"ENSG00000237273","ENSG00000237273",1
"ENSG00000237217","ENSG00000237217",1
"ENSG00000237135","ENSG00000237135",1
"ENSG00000236911","ENSG00000236911",1
"ENSG00000236878","ENSG00000236878",1
"ENSG00000236860","ENSG00000236860",1
"ENSG00000236828","ENSG00000236828",1
"ENSG00000236776","ENSG00000236776",1
"ENSG00000236760","ENSG00000236760",1
"ENSG00000236525","ENSG00000236525",1
"ENSG00000236213","ENSG00000236213",1
"ENSG00000236194","ENSG00000236194",1
"ENSG00000235932","ENSG00000235932",1
"ENSG00000235903","ENSG00000235903",1
"ENSG00000235888","ENSG00000235888",1
"ENSG00000235820","ENSG00000235820",1
"ENSG00000235779","ENSG00000235779",1
"ENSG00000235777","ENSG00000235777",1
"ENSG00000235721","ENSG00000235721",1
"ENSG00000235579","ENSG00000235579",1
"ENSG00000235568","ENSG00000235568",1
"ENSG00000235427","ENSG00000235427",1
"ENSG00000235385","ENSG00000235385",1
"ENSG00000235248","ENSG00000235248",1
"ENSG00000235172","ENSG00000235172",1
"ENSG00000235066","ENSG00000235066",1
"ENSG00000235056","ENSG00000235056",1
"ENSG00000235033","ENSG00000235033",1
"ENSG00000234881","ENSG00000234881",1
"ENSG00000234756","ENSG00000234756",1
"ENSG00000234736","ENSG00000234736",1
"ENSG00000234511","ENSG00000234511",1
"ENSG00000234506","ENSG00000234506",1
"ENSG00000234484","ENSG00000234484",1
"ENSG00000234445","ENSG00000234445",1
"ENSG00000234436","ENSG00000234436",1
"ENSG00000234423","ENSG00000234423",1
"ENSG00000234418","ENSG00000234418",1
"ENSG00000234389","ENSG00000234389",1
"ENSG00000234361","ENSG00000234361",1
"ENSG00000234292","ENSG00000234292",1
"ENSG00000234238","ENSG00000234238",1
