Geneid	ICU_06	ICU_25	ICU_26	ICU_27	NON_07	NON_19	NON_20	NON_22	NON_23	NON_26	NON_28
ENSG00000100387	5617	4149	1427	3091	4289	5579	5184	10071	6081	7421	6113
ENSG00000100393	3227	2393	3598	4302	2001	1609	1697	2726	2336	1266	1712
ENSG00000100395	978	577	327	1156	1174	1445	799	1815	1688	2914	814
ENSG00000100399	140	31	2	138	119	134	84	158	187	168	146
ENSG00000100401	1711	1811	1194	2688	1900	1778	711	1740	1660	4642	1305
ENSG00000100403	838	458	558	1150	970	853	357	790	564	1242	773
ENSG00000100410	1823	1157	814	1131	1105	981	943	1786	1183	1152	1554
ENSG00000100412	786	470	731	1384	942	1081	577	1313	661	1044	813
ENSG00000100413	210	206	173	344	307	351	257	395	350	556	335
ENSG00000100416	869	758	396	669	852	1234	679	1382	924	1160	937
ENSG00000100417	653	275	352	812	854	1195	684	1505	1391	2662	654
ENSG00000100418	1210	851	454	971	1089	1126	665	1162	942	1471	945
ENSG00000100422	2656	2102	1957	3891	2160	1314	858	1613	1314	1498	1109
ENSG00000100425	1367	891	941	1159	1016	1155	958	2291	1147	1173	937
ENSG00000100426	914	702	416	685	948	776	476	1026	844	924	608
ENSG00000100427	9	8	0	20	14	4	23	12	72	0	2
ENSG00000100429	48	51	17	90	50	100	48	59	56	112	46
ENSG00000100433	6	20	0	0	0	0	0	6	0	0	2
ENSG00000100439	1146	979	1978	1438	1015	838	298	942	778	1036	509
ENSG00000100441	1141	845	1843	1859	944	1207	715	1363	828	810	1022
ENSG00000100442	2452	1262	488	1246	1995	1169	1443	2627	1853	879	1705
ENSG00000100445	122	54	37	122	107	137	73	123	108	48	160
ENSG00000100448	10	10	0	6	0	2	0	0	0	2	0
ENSG00000100450	135	25	4	52	54	120	16	38	397	41	102
ENSG00000100453	404	225	114	380	88	240	64	152	436	64	882
ENSG00000100461	4869	2704	3809	5960	3761	4699	2499	5471	4269	3949	3865
ENSG00000100462	852	387	942	1222	756	700	420	910	576	535	719
ENSG00000100473	105	81	2	30	49	153	192	202	86	112	13
ENSG00000100478	426	318	120	204	298	214	243	375	482	520	284
ENSG00000100479	206	262	38	137	107	119	101	227	79	63	167
ENSG00000100483	1813	1322	509	1525	808	997	987	2249	1006	452	1193
ENSG00000100485	2683	2321	2539	2858	1127	1165	1287	2195	1372	754	1397
ENSG00000100490	460	285	111	358	611	529	787	1532	811	684	747
ENSG00000100503	6459	4791	4288	8434	3266	2889	3966	8564	4192	5767	4028
ENSG00000100504	8977	9844	8645	12158	3294	4942	2085	5592	4086	4026	1697
ENSG00000100505	20	25	86	83	16	10	6	26	26	10	23
ENSG00000100519	8046	5275	3385	5209	4492	2681	4968	9802	5259	3417	5570
ENSG00000100522	1235	846	332	666	616	505	495	1128	439	553	651
ENSG00000100523	1250	555	427	407	594	823	807	1741	686	249	870
ENSG00000100526	205	442	38	193	160	188	104	219	83	74	60
ENSG00000100528	5681	3005	904	3023	4091	2076	3413	7559	3877	2567	4360
ENSG00000100532	1610	899	252	669	775	648	1395	2512	1273	631	1383
ENSG00000100554	8078	4056	4892	5368	6842	2075	2462	4382	7407	7964	3671
ENSG00000100557	2	0	0	0	0	6	2	0	0	2	4
ENSG00000100558	1474	784	274	1098	1046	821	541	1041	948	869	1286
ENSG00000100564	1323	683	388	650	890	1141	1420	1875	986	628	1587
ENSG00000100565	0	0	0	0	0	5	8	4	6	2	18
ENSG00000100567	9474	8565	1959	4957	5362	6516	6928	13079	9962	5477	8558
ENSG00000100568	1397	1081	870	1099	1476	1240	945	1752	1256	1752	1364
ENSG00000100575	1149	889	244	572	890	891	982	1760	1183	1396	977
ENSG00000100577	1362	704	634	716	880	2757	1131	1483	1664	2302	1304
ENSG00000100578	1233	482	163	606	928	741	813	1519	1076	558	816
ENSG00000100580	2351	1270	394	1420	1591	1582	1927	3920	2107	810	2107
ENSG00000100583	227	80	9	389	961	357	329	527	580	1072	388
ENSG00000100591	6558	2329	1424	4216	8239	5805	3913	8269	8678	16819	5719
ENSG00000100592	3467	2595	1172	1719	2977	1573	2469	5258	3086	1591	2628
