"","ICU_06","ICU_25","ICU_26","ICU_27","NON_07","NON_19","NON_20","NON_22","NON_23","NON_26","NON_28","ENSGID","SYMBOL"
"ENSG00000259456",223,61,31,103,136,79,121,210,193,131,221,"ENSG00000259456","ADNP-AS1"
"ENSG00000259459",449,124,183,164,325,677,163,1195,442,179,605,"ENSG00000259459","RP11-321G12.1"
"ENSG00000259462",9,3,0,3,16,35,41,66,48,44,16,"ENSG00000259462","CPEB1-AS1"
"ENSG00000259469",0,10,13,10,1,8,11,36,7,7,1,"ENSG00000259469","RP11-227D13.4"
"ENSG00000259479",1087,671,91,1159,2275,3240,2534,8427,2235,1746,646,"ENSG00000259479","SORD2P"
"ENSG00000259488",17,15,11,18,10,13,10,34,9,4,4,"ENSG00000259488","RP11-154J22.1"
"ENSG00000259494",144,30,35,68,151,119,197,200,138,108,136,"ENSG00000259494","MRPL46"
"ENSG00000259502",10,0,5,2,12,12,19,18,20,14,12,"ENSG00000259502","RP11-643G16.3"
"ENSG00000259508",51,20,16,70,35,54,49,79,33,54,29,"ENSG00000259508","RP11-661D19.3"
"ENSG00000259520",12,0,0,1,9,8,17,25,35,42,63,"ENSG00000259520","CTD-2651B20.3"
"ENSG00000259523",14,19,11,14,9,13,4,13,7,32,6,"ENSG00000259523","RP11-680F8.3"
"ENSG00000259531",65,19,0,32,32,6,53,75,75,25,52,"ENSG00000259531","RP11-295H24.3"
"ENSG00000259536",34,3,0,15,26,42,128,125,69,59,35,"ENSG00000259536","RP11-111A22.1"
"ENSG00000259556",49,21,0,25,53,66,27,80,69,41,14,"ENSG00000259556","RP11-56B16.2"
"ENSG00000259577",53,21,26,47,93,121,120,217,126,49,64,"ENSG00000259577","RP11-430B1.2"
"ENSG00000259583",90,101,51,105,97,84,73,137,150,160,86,"ENSG00000259583","RP11-66B24.4"
"ENSG00000259605",66,13,9,128,101,255,55,123,125,170,174,"ENSG00000259605","AC074212.5"
"ENSG00000259609",25,7,0,8,12,33,7,34,26,16,7,"ENSG00000259609","RP11-342A23.1"
"ENSG00000259612",37,19,9,47,38,7,25,20,20,7,19,"ENSG00000259612","EEF1A1P22"
"ENSG00000259626",16,15,12,41,0,0,0,0,0,0,0,"ENSG00000259626","MTND3P12"
"ENSG00000259630",31,87,63,10,29,8,20,47,26,19,6,"ENSG00000259630","CTD-2262B20.1"
"ENSG00000259642",135,188,257,342,132,200,76,188,103,244,108,"ENSG00000259642","ST20-AS1"
"ENSG00000259648",13,5,0,13,13,7,21,29,26,10,13,"ENSG00000259648","RP11-643G16.4"
"ENSG00000259658",8,11,6,1,4,0,10,3,27,20,18,"ENSG00000259658","RP11-89K11.1"
"ENSG00000259663",199,64,27,78,230,73,175,144,377,165,293,"ENSG00000259663","CTD-2314G24.2"
"ENSG00000259668",37,11,29,59,32,31,12,17,16,9,27,"ENSG00000259668","RP11-707P17.2"
"ENSG00000259673",654,280,108,189,486,180,411,1023,615,396,561,"ENSG00000259673","IQCH-AS1"
"ENSG00000259687",42,41,25,88,29,30,33,19,20,73,11,"ENSG00000259687","LINC01220"
"ENSG00000259692",13,21,9,3,75,6,31,67,11,25,18,"ENSG00000259692","RP11-499F3.2"
"ENSG00000259704",110,34,51,97,27,138,41,38,128,125,47,"ENSG00000259704","CTD-3094K11.1"
"ENSG00000259706",51,54,9,36,30,16,18,38,31,34,9,"ENSG00000259706","HSP90B2P"
"ENSG00000259710",14,5,0,6,33,29,43,37,41,55,17,"ENSG00000259710","NUTF2P6"
"ENSG00000259711",6,13,7,4,36,20,13,37,10,22,6,"ENSG00000259711","CTD-3032H12.2"
"ENSG00000259719",37,21,19,22,22,8,14,10,8,4,5,"ENSG00000259719","RP11-930O11.1"
"ENSG00000259728",37,8,0,16,18,10,20,19,18,19,10,"ENSG00000259728","LINC00933"
"ENSG00000259736",14,14,0,12,7,18,14,49,25,22,4,"ENSG00000259736","CRTC3-AS1"
"ENSG00000259744",10,4,0,16,8,5,25,46,0,14,3,"ENSG00000259744","RP11-138H8.6"
"ENSG00000259746",18,30,0,18,23,4,17,14,22,43,6,"ENSG00000259746","HSPE1P3"
"ENSG00000259768",345,85,52,167,470,276,561,591,455,523,516,"ENSG00000259768","RP5-991G20.1"
"ENSG00000259775",80,25,9,62,62,208,105,285,165,100,56,"ENSG00000259775","RP11-45P15.4"
"ENSG00000259781",554,109,160,156,212,191,122,703,209,119,549,"ENSG00000259781","RP11-673C5.1"
"ENSG00000259783",7,6,2,9,2,18,12,26,12,35,3,"ENSG00000259783","RP11-1006G14.2"
"ENSG00000259798",21,22,0,13,56,44,11,43,38,53,17,"ENSG00000259798","RP11-23E19.2"
"ENSG00000259802",47,32,19,24,62,73,127,259,118,206,85,"ENSG00000259802","CTD-2256P15.2"
"ENSG00000259807",2,10,1,16,6,0,22,14,45,1,6,"ENSG00000259807","RP11-426C22.4"
"ENSG00000259820",358,215,136,252,245,131,246,647,400,143,322,"ENSG00000259820","AC083843.1"
"ENSG00000259826",95,41,21,53,68,71,90,112,101,114,58,"ENSG00000259826","RP11-467D6.1"
"ENSG00000259834",18,2,5,29,4,6,28,13,27,4,13,"ENSG00000259834","RP11-284N8.3"
"ENSG00000259838",23,11,4,9,4,8,20,23,15,28,9,"ENSG00000259838","TCEB1P2"
"ENSG00000259840",27,8,8,15,31,51,75,44,69,122,33,"ENSG00000259840","LA16c-380A1.1"
"ENSG00000259848",4,0,0,7,15,4,13,11,14,6,16,"ENSG00000259848","AC097374.2"
"ENSG00000259865",1255,966,192,975,827,225,648,1665,930,388,643,"ENSG00000259865","RP11-488L18.10"
"ENSG00000259877",168,40,48,139,197,169,231,272,163,129,147,"ENSG00000259877","RP11-46C24.7"
"ENSG00000259881",14,5,16,28,6,20,9,26,5,8,7,"ENSG00000259881","RP11-830F9.5"
"ENSG00000259883",7,13,17,20,4,16,4,18,33,26,22,"ENSG00000259883","EHD4-AS1"
"ENSG00000259891",55,33,62,60,35,77,61,80,74,103,45,"ENSG00000259891","CTA-204B4.2"
"ENSG00000259915",32,13,6,27,39,19,32,108,41,19,67,"ENSG00000259915","RP11-410E4.1"
"ENSG00000259925",829,405,27,953,1783,2854,1090,2027,1978,1913,414,"ENSG00000259925","CTA-363E6.2"
"ENSG00000259933",9,5,2,8,2,11,9,7,17,17,3,"ENSG00000259933","RP11-304L19.1"
"ENSG00000259935",50,22,25,22,23,18,23,29,25,8,10,"ENSG00000259935","RP11-519C12.1"
"ENSG00000259943",910,305,158,529,615,413,971,1806,1121,591,987,"ENSG00000259943","RP1-39G22.7"
"ENSG00000259950",36,31,63,40,0,0,0,0,0,0,0,"ENSG00000259950","RP11-170L3.4"
"ENSG00000259953",551,470,182,325,273,242,205,520,411,228,132,"ENSG00000259953","RP11-4O1.2"
"ENSG00000259956",1892,1307,1017,2136,1670,2095,1090,1856,1987,2991,1623,"ENSG00000259956","RBM15B"
"ENSG00000259959",494,155,27,259,296,84,308,698,336,211,370,"ENSG00000259959","RP11-121C2.2"
"ENSG00000259969",1057,335,41,714,863,317,1778,4499,2171,815,2162,"ENSG00000259969","RP11-999E24.3"
"ENSG00000259972",391,142,40,172,234,290,140,393,298,120,73,"ENSG00000259972","AC009120.6"
"ENSG00000259985",76,21,45,35,46,62,20,51,28,9,21,"ENSG00000259985","RP11-549B18.1"
"ENSG00000259994",128,32,10,61,84,26,94,122,81,34,59,"ENSG00000259994","RP11-305E6.4"
"ENSG00000260000",285,129,42,118,221,264,188,419,270,229,99,"ENSG00000260000","RP3-467N11.1"
"ENSG00000260001",73,19,14,217,172,767,362,541,429,236,173,"ENSG00000260001","TGFBR3L"
"ENSG00000260007",37,37,62,94,58,104,50,173,46,8,16,"ENSG00000260007","RP11-315D16.2"
"ENSG00000260008",31,18,0,23,68,18,81,160,86,61,59,"ENSG00000260008","RP11-732A21.2"
"ENSG00000260015",38,26,16,15,21,17,25,30,51,18,11,"ENSG00000260015","RP11-510M2.5"
"ENSG00000260018",66,45,9,99,128,69,113,204,210,390,255,"ENSG00000260018","RP11-505K9.1"
"ENSG00000260025",124,102,112,65,75,60,54,167,112,109,109,"ENSG00000260025","RP11-490M8.1"
"ENSG00000260032",24446,12588,6350,15882,14961,8050,14964,32403,18549,10772,16301,"ENSG00000260032","NORAD"
"ENSG00000260038",11,19,7,12,39,16,9,26,11,29,14,"ENSG00000260038","RP11-407G23.4"
"ENSG00000260051",3,0,35,21,3,9,10,5,1,3,17,"ENSG00000260051","LA16c-390E6.4"
"ENSG00000260052",6,18,97,89,11,23,8,9,7,12,1,"ENSG00000260052","CTC-527H23.3"
"ENSG00000260057",389,78,44,271,851,734,1894,1740,1070,2276,1776,"ENSG00000260057","LINC01571"
"ENSG00000260060",19,54,30,38,5,6,3,12,10,34,9,"ENSG00000260060","RP11-388M20.1"
"ENSG00000260063",50,24,35,42,23,119,64,186,90,87,44,"ENSG00000260063","RP5-968P14.2"
"ENSG00000260077",54,20,12,55,53,66,31,186,58,49,119,"ENSG00000260077","RP11-254F7.2"
"ENSG00000260078",53,89,609,1312,6,35,3,19,8,23,14,"ENSG00000260078","RP11-44F14.1"
"ENSG00000260081",61,25,16,66,113,201,122,204,178,298,147,"ENSG00000260081","RP11-66N11.8"
"ENSG00000260083",127,52,36,53,109,144,62,165,121,120,94,"ENSG00000260083","MIR762HG"
"ENSG00000260084",0,7,0,8,11,13,15,11,111,27,0,"ENSG00000260084","RP11-615I2.1"
"ENSG00000260086",49,61,61,123,7,24,11,12,27,26,8,"ENSG00000260086","RP11-42I10.1"
"ENSG00000260095",44,9,0,28,73,117,112,123,109,121,29,"ENSG00000260095","RP11-715J22.3"
"ENSG00000260101",45,60,26,47,29,15,22,64,32,16,13,"ENSG00000260101","RP11-568N6.1"
"ENSG00000260115",15,10,6,3,5,35,20,35,33,67,5,"ENSG00000260115","CTC-420A11.2"
"ENSG00000260118",81,21,0,70,23,7,41,176,40,26,82,"ENSG00000260118","RP6-201G10.2"
"ENSG00000260136",98,110,27,249,249,254,358,390,274,785,111,"ENSG00000260136","CTD-2270L9.4"
"ENSG00000260156",92,29,8,63,186,120,334,511,321,294,310,"ENSG00000260156","RP11-394B2.6"
"ENSG00000260160",153,87,12,60,114,33,100,128,115,107,53,"ENSG00000260160","CTC-471J1.2"
"ENSG00000260179",8,20,0,17,8,11,7,26,8,29,2,"ENSG00000260179","RP5-902P8.12"
"ENSG00000260183",223,58,0,131,326,35,562,787,609,106,284,"ENSG00000260183","RP11-109P11.1"
"ENSG00000260186",14,8,46,0,5,2,11,23,10,10,14,"ENSG00000260186","RP11-481J2.2"
"ENSG00000260192",13,53,6,12,73,24,4,14,14,30,9,"ENSG00000260192","RP11-756H20.1"
"ENSG00000260193",67,33,11,42,69,139,36,90,125,214,107,"ENSG00000260193","RP11-83N9.5"
"ENSG00000260194",7,0,0,7,9,10,12,27,14,12,21,"ENSG00000260194","RP11-357N13.2"
"ENSG00000260196",670,439,329,520,695,865,545,1560,887,601,501,"ENSG00000260196","RP1-239B22.5"
"ENSG00000260197",235,26,3,96,0,0,50,0,160,25,109,"ENSG00000260197","RP11-424G14.1"
"ENSG00000260219",58,30,59,83,68,150,80,144,153,314,240,"ENSG00000260219","RP11-347C12.10"
"ENSG00000260220",483,73,66,750,921,2471,1087,1992,1190,1640,4257,"ENSG00000260220","CCDC187"
"ENSG00000260228",181,93,45,200,273,360,146,376,335,504,359,"ENSG00000260228","RP11-483P21.2"
"ENSG00000260230",16,2,0,3,13,2,36,71,5,5,29,"ENSG00000260230","FRRS1L"
"ENSG00000260231",2139,1793,1465,1367,924,1417,730,1710,1866,2003,965,"ENSG00000260231","JHDM1D-AS1"
"ENSG00000260233",36,19,24,59,28,29,35,24,37,42,23,"ENSG00000260233","SSSCA1-AS1"
"ENSG00000260236",73,53,65,32,51,59,61,59,58,122,30,"ENSG00000260236","RP11-708J19.1"
"ENSG00000260257",1644,956,626,970,897,902,571,1426,999,655,498,"ENSG00000260257","RP5-1085F17.3"
"ENSG00000260259",365,228,73,381,869,1428,607,916,778,2578,427,"ENSG00000260259","RP11-368I7.4"
"ENSG00000260260",813,562,117,595,1097,662,266,762,965,1283,1025,"ENSG00000260260","SNHG19"
"ENSG00000260261",86,45,45,39,119,129,53,192,54,56,48,"ENSG00000260261","RP11-480A16.1"
"ENSG00000260265",1338,292,119,552,1393,1401,1923,1990,2115,1147,986,"ENSG00000260265","RP11-44F21.5"
"ENSG00000260266",210,60,0,84,552,178,662,1829,1203,331,426,"ENSG00000260266","CTD-2311M21.2"
"ENSG00000260267",110,96,61,119,79,93,64,144,147,128,87,"ENSG00000260267","RP11-452L6.5"
"ENSG00000260273",43,9,43,52,48,56,71,130,59,30,131,"ENSG00000260273","RP11-425D10.10"
"ENSG00000260274",122,62,44,88,81,105,134,227,164,171,103,"ENSG00000260274","RP11-817O13.8"
"ENSG00000260277",53,47,9,12,27,6,17,55,16,34,20,"ENSG00000260277","RP11-101E7.2"
"ENSG00000260279",10,6,16,17,9,66,10,19,2,95,7,"ENSG00000260279","AC137932.5"
"ENSG00000260285",72,17,22,33,81,147,101,184,121,111,81,"ENSG00000260285","RP11-600F24.7"
"ENSG00000260296",692,198,183,324,325,180,459,716,438,144,374,"ENSG00000260296","RP11-395I6.3"
"ENSG00000260306",31,16,10,37,35,22,57,95,71,20,49,"ENSG00000260306","RP11-645C24.5"
"ENSG00000260314",489,699,953,603,111,130,74,146,164,92,54,"ENSG00000260314","MRC1"
"ENSG00000260317",183,107,88,128,80,56,112,403,206,59,194,"ENSG00000260317","RP11-48B3.4"
"ENSG00000260325",11,6,0,4,15,8,6,15,24,13,20,"ENSG00000260325","HSPB9"
"ENSG00000260328",20,0,8,25,28,24,42,46,14,38,34,"ENSG00000260328","RP11-416I2.1"
"ENSG00000260329",49,14,3,34,73,25,105,116,115,38,78,"ENSG00000260329","RP11-412D9.4"
"ENSG00000260331",15,16,0,20,17,9,6,23,5,10,4,"ENSG00000260331","RP11-111J6.2"
"ENSG00000260337",4,0,3,15,37,5,16,16,5,9,36,"ENSG00000260337","RP11-386M24.6"
"ENSG00000260339",264,111,113,111,113,92,127,174,148,109,92,"ENSG00000260339","HEXA-AS1"
"ENSG00000260360",16,12,22,15,9,25,25,38,38,18,11,"ENSG00000260360","RP11-533E19.5"
"ENSG00000260361",36,46,53,91,76,97,38,37,54,113,36,"ENSG00000260361","CTD-2313J17.5"
"ENSG00000260367",9,3,13,13,6,10,10,8,12,20,13,"ENSG00000260367","RP11-264B17.4"
"ENSG00000260368",111,152,57,52,40,9,18,36,56,24,21,"ENSG00000260368","RP11-521I2.3"
"ENSG00000260372",628,214,46,359,666,312,922,1787,1143,893,1133,"ENSG00000260372","AQP4-AS1"
"ENSG00000260386",5,0,31,38,7,12,12,7,1,10,2,"ENSG00000260386","LINC01225"
"ENSG00000260388",22,9,0,12,30,11,31,28,33,8,7,"ENSG00000260388","LINC00562"
"ENSG00000260390",11,6,0,4,0,3,9,87,63,23,47,"ENSG00000260390","RP11-575I8.1"
"ENSG00000260400",96,11,0,34,61,3,24,71,63,0,79,"ENSG00000260400","RP11-119F7.5"
"ENSG00000260404",61,13,240,251,11,67,17,41,12,53,17,"ENSG00000260404","RP11-384K6.6"
"ENSG00000260418",251,204,53,169,154,201,107,323,292,203,88,"ENSG00000260418","RP3-406A7.7"
"ENSG00000260423",163,198,34,58,183,18,26,117,87,18,102,"ENSG00000260423","RP13-735L24.1"
"ENSG00000260428",174,118,14,144,235,222,83,209,228,98,48,"ENSG00000260428","SCX"
"ENSG00000260430",13,13,15,9,25,22,18,36,32,23,21,"ENSG00000260430","RP11-626G11.4"
"ENSG00000260440",15,0,0,4,8,5,28,32,10,7,14,"ENSG00000260440","LINC01544"
"ENSG00000260442",12,0,0,9,20,54,21,23,13,52,11,"ENSG00000260442","ATP2A1-AS1"
"ENSG00000260448",27,4,0,15,19,12,30,50,46,26,58,"ENSG00000260448","LCMT1-AS1"
"ENSG00000260455",19,9,20,19,27,19,13,56,26,6,47,"ENSG00000260455","NBAT1"
"ENSG00000260458",40,237,58,74,12,4,4,22,15,55,12,"ENSG00000260458","KCNJ18"
"ENSG00000260459",4,47,13,9,1,4,4,4,18,42,0,"ENSG00000260459","FTLP14"
"ENSG00000260461",21,12,0,11,7,5,14,31,9,15,4,"ENSG00000260461","RP11-541N10.3"
"ENSG00000260464",17,15,0,14,5,5,3,14,19,16,9,"ENSG00000260464","RP4-561L24.3"
"ENSG00000260467",20,4,89,128,0,5,1,0,6,3,13,"ENSG00000260467","RP11-405F3.4"
"ENSG00000260468",2,13,18,1,9,5,9,3,6,13,0,"ENSG00000260468","LINC01290"
"ENSG00000260490",25,22,13,7,19,5,13,18,24,12,12,"ENSG00000260490","MYL12BP1"
"ENSG00000260493",49,13,0,15,35,12,68,129,83,49,53,"ENSG00000260493","RP11-219B4.7"
"ENSG00000260495",50,28,1,32,52,38,65,101,99,40,19,"ENSG00000260495","RP11-55K13.1"
"ENSG00000260500",12,0,0,19,38,49,82,119,65,25,94,"ENSG00000260500","CTD-3193O13.1"
"ENSG00000260509",12,3,0,4,23,5,20,16,11,12,11,"ENSG00000260509","RP11-271M24.2"
"ENSG00000260517",12,6,4,8,0,7,4,19,18,20,12,"ENSG00000260517","RP11-426C22.5"
"ENSG00000260520",20,16,2,8,18,25,27,25,87,16,5,"ENSG00000260520","RP11-510M2.6"
"ENSG00000260526",257,146,106,135,155,88,223,639,220,111,214,"ENSG00000260526","RP11-73K9.2"
"ENSG00000260528",4,48,47,908,10,16,1,2,1,3,0,"ENSG00000260528","FAM157C"
"ENSG00000260549",67,27,64,145,84,138,53,78,63,342,263,"ENSG00000260549","MT1L"
"ENSG00000260552",14,15,1,11,21,32,0,6,7,62,12,"ENSG00000260552","RP11-49I11.1"
"ENSG00000260563",370,224,597,817,268,358,202,344,233,144,156,"ENSG00000260563","RP13-516M14.1"
"ENSG00000260565",980,328,240,479,1010,648,842,1562,1351,832,1450,"ENSG00000260565","CTD-2270P14.1"
"ENSG00000260572",126,20,25,64,82,52,146,158,103,29,99,"ENSG00000260572","RP11-16N11.2"
"ENSG00000260577",24,27,19,17,43,27,12,12,22,20,8,"ENSG00000260577","RP11-615I2.2"
"ENSG00000260581",87,67,19,55,51,21,7,55,37,9,37,"ENSG00000260581","CTB-113P19.4"
"ENSG00000260583",40,13,0,23,51,33,75,93,75,35,21,"ENSG00000260583","AP000223.42"
"ENSG00000260589",59,9,7,10,36,14,55,62,52,17,47,"ENSG00000260589","STAM-AS1"
"ENSG00000260593",21,7,5,6,12,21,27,54,31,6,6,"ENSG00000260593","RP11-432I5.2"
"ENSG00000260604",202,78,48,231,453,1410,611,1921,684,1089,546,"ENSG00000260604","RP1-140K8.5"
"ENSG00000260613",17,14,3,12,22,26,7,14,21,43,14,"ENSG00000260613","RP3-522J7.6"
"ENSG00000260618",17,6,10,31,6,14,17,19,19,0,5,"ENSG00000260618","RP11-23N2.4"
"ENSG00000260625",46,19,11,29,44,31,74,130,140,39,97,"ENSG00000260625","RP11-452L6.7"
"ENSG00000260630",74,27,44,78,101,109,69,109,149,101,137,"ENSG00000260630","SNAI3-AS1"
"ENSG00000260633",19,14,62,41,0,10,2,17,19,4,21,"ENSG00000260633","RP11-375I20.6"
"ENSG00000260641",14,36,9,0,4,2,7,46,27,30,17,"ENSG00000260641","RP11-1299A16.3"
"ENSG00000260643",41,5,10,39,65,94,38,65,52,80,76,"ENSG00000260643","RP11-303E16.8"
"ENSG00000260645",1511,453,194,262,287,698,719,1407,1013,287,145,"ENSG00000260645","RP11-250B2.5"
"ENSG00000260647",31,16,7,19,39,37,21,49,50,43,39,"ENSG00000260647","RP1-178F10.1"
"ENSG00000260651",9,6,0,18,11,3,6,9,18,7,12,"ENSG00000260651","AF213884.2"
"ENSG00000260669",14,11,27,20,3,11,7,5,15,5,3,"ENSG00000260669","AL136419.6"
"ENSG00000260677",34,18,29,7,14,27,8,42,15,0,3,"ENSG00000260677","RP11-546O6.4"
"ENSG00000260685",23,9,0,7,63,34,63,73,60,67,17,"ENSG00000260685","RP11-326L17.1"
"ENSG00000260691",16,4,21,4,0,1,20,33,4,0,1,"ENSG00000260691","ANKRD20A1"
"ENSG00000260698",39,74,63,36,5,26,13,67,24,24,5,"ENSG00000260698","RP11-439E19.9"
"ENSG00000260708",390,250,704,810,224,268,428,514,406,371,388,"ENSG00000260708","CTA-29F11.1"
"ENSG00000260711",1360,437,212,797,1065,1004,1617,2669,1403,743,669,"ENSG00000260711","RP11-747H7.3"
"ENSG00000260737",12,3,3,3,4,11,22,33,23,6,5,"ENSG00000260737","LINC01227"
"ENSG00000260742",89,51,11,54,72,46,42,118,101,63,54,"ENSG00000260742","RP11-366L5.1"
"ENSG00000260747",114,45,27,36,67,31,63,84,60,63,50,"ENSG00000260747","RP11-421N8.1"
"ENSG00000260751",15,30,0,13,23,22,9,34,22,51,9,"ENSG00000260751","CTD-2196E14.6"
"ENSG00000260765",27,18,5,27,43,25,53,66,77,29,36,"ENSG00000260765","CES1P2"
"ENSG00000260778",49,29,21,29,37,40,27,54,46,63,40,"ENSG00000260778","MIR940"
"ENSG00000260788",22,13,0,18,3,17,0,13,37,3,21,"ENSG00000260788","RP11-298D21.1"
"ENSG00000260793",138,111,38,196,168,192,179,352,239,201,103,"ENSG00000260793","RP5-882C2.2"
"ENSG00000260804",328,183,122,151,185,194,90,300,245,164,152,"ENSG00000260804","PKI55"
"ENSG00000260805",101,154,47,148,56,50,18,56,54,115,36,"ENSG00000260805","RP11-61J19.5"
"ENSG00000260806",300,128,58,268,714,721,861,619,933,1214,406,"ENSG00000260806","RP11-872J21.3"
"ENSG00000260810",26,0,3,19,39,58,19,45,17,25,20,"ENSG00000260810","CTD-2547L24.4"
"ENSG00000260816",58,58,8,40,73,66,78,122,86,209,29,"ENSG00000260816","RP11-319G9.3"
"ENSG00000260830",0,2,14,8,4,4,15,14,19,16,23,"ENSG00000260830","RP11-524O1.4"
"ENSG00000260852",10,28,24,35,24,8,14,19,22,30,22,"ENSG00000260852","FBXL19-AS1"
"ENSG00000260853",1,22,39,7,12,13,1,6,3,2,0,"ENSG00000260853","RP11-264B17.2"
"ENSG00000260855",20,10,5,12,43,19,32,36,39,32,32,"ENSG00000260855","RP11-439E19.10"
"ENSG00000260871",13,8,0,5,14,4,27,71,21,11,12,"ENSG00000260871","CTD-2373J6.1"
"ENSG00000260877",34,35,8,15,31,32,12,98,46,22,21,"ENSG00000260877","RP11-211G23.2"
"ENSG00000260886",31,35,10,40,41,35,123,288,273,82,108,"ENSG00000260886","TAT-AS1"
"ENSG00000260898",20,13,45,75,16,18,29,34,21,11,30,"ENSG00000260898","ADPGK-AS1"
"ENSG00000260908",246,69,24,185,188,173,633,464,744,1058,674,"ENSG00000260908","CTB-134H23.3"
"ENSG00000260910",4,0,0,9,30,0,32,23,34,8,42,"ENSG00000260910","LINC00565"
"ENSG00000260911",22,51,19,51,28,26,11,22,31,58,11,"ENSG00000260911","RP11-196G11.2"
"ENSG00000260912",2018,1911,422,1139,1089,725,1228,2971,2128,1058,602,"ENSG00000260912","RP11-363E7.4"
"ENSG00000260916",6107,4054,1124,4154,2566,1233,2846,6678,4046,2259,2399,"ENSG00000260916","CCPG1"
"ENSG00000260917",277,121,87,171,221,258,100,393,234,154,207,"ENSG00000260917","RP11-57H14.4"
"ENSG00000260920",108,36,24,34,58,42,72,85,85,37,33,"ENSG00000260920","RP1-228H13.5"
"ENSG00000260923",125,180,39,362,53,73,22,101,62,51,25,"ENSG00000260923","AC137934.1"
"ENSG00000260924",81,44,15,42,45,65,23,81,91,59,59,"ENSG00000260924","LINC01311"
"ENSG00000260926",6,0,0,16,21,49,22,34,28,20,14,"ENSG00000260926","RP11-380D11.2"
"ENSG00000260927",18,8,0,8,19,6,4,19,15,6,19,"ENSG00000260927","RP11-459F6.3"
"ENSG00000260941",43,23,17,45,39,5,4,0,13,7,30,"ENSG00000260941","LINC00622"
"ENSG00000260942",130,75,64,64,151,179,79,192,211,105,102,"ENSG00000260942","CAPN10-AS1"
"ENSG00000260948",104,21,6,54,85,185,74,162,134,60,42,"ENSG00000260948","RP11-552M11.8"
"ENSG00000260951",56,0,0,41,115,374,146,243,638,528,1781,"ENSG00000260951","RP5-978I12.1"
"ENSG00000260954",5,1,0,9,8,11,9,16,5,18,9,"ENSG00000260954","LA16c-425C2.1"
"ENSG00000260969",105,60,0,89,83,186,15,251,148,463,180,"ENSG00000260969","RP11-190D6.2"
"ENSG00000260988",8,0,0,5,10,36,17,38,17,6,8,"ENSG00000260988","RP11-285A1.1"
"ENSG00000260992",167,107,186,147,126,235,114,277,249,104,114,"ENSG00000260992","DOCK9-AS2"
"ENSG00000260996",21,13,57,43,0,15,10,8,13,8,4,"ENSG00000260996","RP13-122B23.8"
"ENSG00000260997",39,43,38,138,5,32,2,4,51,9,13,"ENSG00000260997","RP4-647J21.1"
"ENSG00000261000",33,33,8,8,43,5,4,10,9,19,20,"ENSG00000261000","RP11-534L20.5"
"ENSG00000261008",130,52,0,42,64,34,70,128,79,63,11,"ENSG00000261008","LINC01572"
"ENSG00000261019",6,0,0,31,20,0,31,22,14,2,27,"ENSG00000261019","RP11-111K18.2"
"ENSG00000261026",943,464,859,1396,16,57,16,3,78,5,4,"ENSG00000261026","CTD-3247F14.2"
"ENSG00000261040",12481,48895,21652,7756,5764,5157,4776,9848,9032,22691,1709,"ENSG00000261040","WFDC21P"
"ENSG00000261051",60,26,0,10,26,1,2,27,8,0,18,"ENSG00000261051","RP11-274H2.5"
"ENSG00000261068",298,1020,713,532,291,393,95,280,283,917,171,"ENSG00000261068","RP11-7K24.3"
"ENSG00000261083",19,31,5,8,17,4,5,38,23,8,14,"ENSG00000261083","RP11-93I21.3"
"ENSG00000261087",151,202,36,47,132,30,67,114,125,124,45,"ENSG00000261087","KB-1460A1.5"
"ENSG00000261092",54,84,74,31,23,51,15,74,24,94,18,"ENSG00000261092","RP11-21B23.2"
"ENSG00000261094",123,65,62,58,123,118,88,188,75,93,59,"ENSG00000261094","RP11-355O1.11"
"ENSG00000261098",105,10,12,48,57,31,73,171,41,36,146,"ENSG00000261098","RP11-819C21.1"
"ENSG00000261104",127,60,92,52,15,81,108,303,48,26,14,"ENSG00000261104","RP11-734K21.5"
"ENSG00000261105",111,25,1,48,165,103,319,218,263,342,112,"ENSG00000261105","LMO7-AS1"
"ENSG00000261115",626,180,190,481,349,654,239,778,357,129,231,"ENSG00000261115","TMEM178B"
"ENSG00000261118",36,36,5,47,77,84,51,139,88,87,32,"ENSG00000261118","RP11-104N10.1"
"ENSG00000261126",54,55,9,44,132,60,93,159,143,83,44,"ENSG00000261126","RP11-795F19.1"
"ENSG00000261131",15,18,14,12,9,6,3,16,5,3,2,"ENSG00000261131","RP11-93O14.2"
"ENSG00000261135",17,0,0,6,6,11,75,39,10,0,8,"ENSG00000261135","RP4-798A10.7"
"ENSG00000261136",94,17,0,30,100,205,26,161,148,57,48,"ENSG00000261136","RP11-37C7.3"
"ENSG00000261150",1170,2034,288,687,713,179,297,504,563,1102,490,"ENSG00000261150","EPPK1"
"ENSG00000261159",128,40,10,22,34,214,18,183,230,29,54,"ENSG00000261159","RP11-723O4.9"
"ENSG00000261167",102,35,27,81,129,106,84,286,139,82,221,"ENSG00000261167","RP11-517B11.7"
"ENSG00000261168",37,11,0,0,9,2,37,65,43,10,4,"ENSG00000261168","RP11-68I18.10"
"ENSG00000261172",25,0,40,165,6,21,4,17,2,9,6,"ENSG00000261172","RP11-356C4.5"
"ENSG00000261173",40,23,0,17,26,30,49,106,78,36,9,"ENSG00000261173","RP11-169E6.1"
"ENSG00000261175",222,375,142,462,178,43,46,119,76,99,111,"ENSG00000261175","CTD-2015G9.2"
