"","Inflammatory.Macrophages","HOPX.high.Squamous.Cells","Basal.Cells","AZGP1.SCGB3A1.LTF.high.Goblet.Cells","Interferon.Responsive.Secretory.Cells","ITGAX.high.Macrophages","Interferon.Responsive.Cytotoxic.CD8.T.Cells","VEGFA.high.Squamous.Cells","Interferon.Responsive.Ciliated.Cells"
"ENSG00000168143",0.00262286222198028,0.0299103198933213,0.00371142682047812,0.326087402946485,0.0102012842907634,0.015922828676132,0.218234287814153,0.00632791500737073,0.0352869812200622
"ENSG00000168273",0.0258084727576041,0.0988132310793053,0.00305162918448576,0.0441910845317323,0.0503381673432462,0.00410606882255764,0.396630800290556,0.00158674281744199,0.023313039833186
"ENSG00000168297",0.0258084727576042,0.129372166165112,0.00305162918448574,0.158615526447876,0.0347408310000391,0.000670307762136806,0.533389658788904,0.00158674281744199,0.000233458170378731
"ENSG00000168309",0.015633639680252,0.113428868455796,0.0221388695011191,0.0896851201512627,0.0440185276355092,0.086618135888806,0.00216327451236322,0.0309503133810332,0.0709517344763754
"ENSG00000168374",0.0156336396802519,0.293358592377608,0.0461806329345658,0.0827895649435481,0.0980832613641481,0.0191360817750216,0.0365548213907564,0.060532874674575,0.00845472888506159
"ENSG00000168404",0.00262286222198028,0.0625339131400845,0.00305162918448574,0.11676456370084,0.0298837831600382,0.00449122370709952,0.105957274652948,0.00447135932966232,0.0826509573441751
"ENSG00000168421",0.0306104628392702,0.365470183682198,0.0100957118828226,0.00478790373910416,0.194088554513999,0.000771658234460746,0.0365548213907564,0.00744320106343547,0.0388452536203533
"ENSG00000168453",0.0273452362154598,0.350377178579973,0.00869589170385726,0.000269139263989394,0.204877151119172,0.0254810609537726,0.0192482792791142,0.0100957118828226,0.0826509573441751
"ENSG00000168461",0.000984230984908125,0.091991920043484,0.00534044344098429,0.153563290655135,0.0283769179848306,0.000498034472264704,0.32118925813426,0.00534044344098429,0.00255858019971392
"ENSG00000168476",0.191080090137452,0.515307485611686,0.0152766309171525,0.00435837625999599,0.3176478222527,0.0227877379292871,0.091991920043484,0.0221388695011191,0.284692740955887
"ENSG00000168487",0.0969492482807169,0.321189258134261,0.00305162918448574,0.00209803967860424,0.183649498353882,0.0114567316577406,0.196022378620094,0.00447135932966232,0.133433838256829
"ENSG00000168488",0.153563290655135,0.872288363084034,0.0309503133810332,0.00032423073461512,0.62027999231038,0.0685607921438779,0.0241644273369414,0.0380369246819265,0.325894941012842
"ENSG00000168542",0.0535767159522696,0.747264597168345,0.0221388695011191,0.153563290655135,0.440623958824401,0.00449122370709952,0.646989097896852,0.0419721079880243,0.0709517344763754
"ENSG00000168589",0.0118142295481724,0.0331160138053492,0.0221388695011191,0.341814628423491,0.00654508281541735,0.000425668702341344,0.412687797958505,0.0221388695011191,0.00728204100842913
"ENSG00000168610",0.00741835750136527,0.279960573486871,0.0100957118828226,0.00045967919219881,0.183649498353882,0.0149437697367229,0.00550061559251263,0.00744320106343547,0.0709517344763754
"ENSG00000168615",0.0118142295481725,0.044164728660072,0.000725215027603394,0.125367943517716,0.00557458130156403,0.00183852044183916,0.412687797958505,0.000725215027603394,6.66145194135569e-05
"ENSG00000168658",0.0080503107949131,0.0269293105867051,0.0248463444406556,0.391311467247695,0.00654508281541735,0.000425668702341344,0.429054848700468,0.0196480288158036,0.00311042831038585
"ENSG00000168734",0.00682348342697732,0.0192482792791142,0.00158674281744199,0.129817352423419,0.00395619230459285,0.00374589683788556,0.515307485611686,0.00158674281744199,0.00104518214585868
"ENSG00000168769",0.00209803967860425,0.0269293105867051,0.0419721079880243,0.341814628423492,0.00513118146012842,0.00682909518216777,0.279960573486871,0.0419721079880243,0.00529948717864386
"ENSG00000168772",0.0861917047002034,0.196022378620094,0.0173639320276314,0.00478790373910416,0.183649498353882,0.0349032305171176,0.0734110291707682,0.013376145945041,0.284692740955887
