"","ICU_01","ICU_02","ICU_03","ICU_04","NON_01","NON_02","NON_03","NON_04","NON_05","NON_06","NON_07"
"ENSG00000166987",4.27091071107265,4.41611525447482,7.08040793372209,6.63776235479379,3.70186860803061,4.41957343219269,3.73930483376316,3.61609077886053,3.00241498459638,4.22438034778293,3.3446703596582
"ENSG00000167074",3.57391756142471,2.87658857241515,4.55479668868849,3.76273623748197,3.77296336878871,4.86511153126656,4.86544141347908,4.58501616777791,4.90782453613438,4.93933478598989,5.04292797612161
"ENSG00000167077",1.03302690736982,2.30851725150641,3.91423487012433,3.07618501289855,0.606735976392226,0.205375151568937,-0.359535093514883,0.470410687785274,1.00104387366532,1.13503615434065,-0.392993131034125
"ENSG00000167094",3.37603938667521,0.386125179050364,-0.841563467973669,4.37915860935544,4.23245796435861,4.47589631510227,4.4975608583312,5.192605489525,5.10805149996219,6.09016016566643,4.89437677790831
"ENSG00000167107",5.1540112182991,3.54413690759673,3.58254974659431,4.59857766189247,5.30245473085384,5.95991822563134,5.89397701901431,5.70870103230008,6.02493203858428,5.0866790845311,5.64849622192466
"ENSG00000167113",6.39996223718499,5.99880550616014,5.42955926259613,6.80676246434529,7.49164374405404,7.84950929028847,7.68008949153451,7.7662320570215,8.09930006280655,8.88674158901642,7.58427473295777
"ENSG00000167114",3.36237935462972,4.60054532668381,4.34016963827925,4.21441801334125,3.22622260371632,3.29621329678515,2.99060806148877,3.13379871946278,3.05849235416943,3.63722060954825,2.77224898199054
"ENSG00000167173",4.73886153923123,4.31312063004399,8.60552445402148,7.24127936899006,4.07931465537702,4.31447779826392,2.9401117806803,2.91144883302569,3.86266464589383,5.28530756395266,3.42533109904736
"ENSG00000167193",6.46404060372366,7.01542576096589,7.42275522393706,6.83194202913094,6.00639610268687,5.35301323326319,5.85362260875212,5.87121634679077,5.58253109208146,5.89458104875999,5.9464141278659
"ENSG00000167208",4.33245896979944,3.69854680256708,6.51372618285856,5.51758658261612,1.79431074919455,3.22839989467892,0.115263757051275,1.18966744786382,2.48179854644713,0.906401362008505,1.255218848197
"ENSG00000167216",4.83298979998543,3.32782400781466,0.158909537843621,4.74938870294439,5.6379836824704,5.50801964545533,5.78375077007536,5.84162027851163,5.79903542300956,6.09526328488164,5.33748114812459
"ENSG00000167261",3.26001270444619,1.17434284541751,5.92514951767714,5.32269692856183,0.503488922341721,3.6327795979896,0.503151417817547,1.03777346979572,0.692226357548737,2.22155530980529,-1.39374799373245
"ENSG00000167272",5.35637824395207,4.59323723768808,3.82403480172549,4.6250763488281,5.5411071610187,5.22160114911747,5.50755674284791,5.42194607986613,5.87740230513885,6.05741435123372,5.619722290443
"ENSG00000167380",5.19697323488751,5.13755305257034,4.63950880082735,4.40317492186174,5.32534125544064,5.96455709956996,6.13315188133051,6.03778907644067,5.76633631663184,4.9493895112262,6.07427117224042
"ENSG00000167395",3.32905771407796,2.59860059060026,5.79401893961139,5.25455530583222,2.89506039994456,2.91033477290277,2.5263283382932,2.21975434131188,2.59987789710125,3.38279334864663,2.38726141904919
"ENSG00000167434",2.85824890338146,3.30563812835097,6.2283978387555,3.80969802530306,-1.08593397492627,2.43642451186211,-1.62691565523168,-3.11372084956038,-2.42261477293606,-1.23134386385261,-4.31048791661948
"ENSG00000167460",7.97641392095799,8.82325793096707,10.0154536580047,9.62121392830394,7.93940244355582,7.28717585557168,6.16586942818796,6.19417978399023,6.64167394416134,8.18194595691703,6.35684159164163
"ENSG00000167461",2.61268614769754,2.62750683314732,4.74977969475826,4.12234497279853,2.3047765540875,2.84642544662247,2.06401988518126,1.96084438037402,1.68998132974424,2.84505335592368,2.01361137433385
