genesymbols	Developing Ciliated Cells	SPRR2D high Squamous Cells	KRT24 KRT13 high Secretory Cells	ITGAX high Macrophages	B Cells	FOXJ1 high Ciliated Cells	CD8 T Cells	SERPINB11 high Secretory Cells	Inflammatory Macrophages	MSR1 C1QB high Macrophages	Dendritic Cells	MUC5AC high Goblet Cells	CCL5 high Squamous Cells	SCGB1A1 high Goblet Cells	BPIFA1 high Secretory Cells	Deuterosomal Cells	Basal Cells	Early Response FOXJ1 high Ciliated Cells	Early Response T Cells	Ionocytes	Interferon Responsive Macrophages	BPIFA1 and Chemokine high Secretory Cells	Cilia high Ciliated Cells	Mitotic Basal Cells	Interferon Responsive Ciliated Cells	AZGP1 high Goblet Cells	BEST4 high Cilia high Ciliated Cells	Developing Secretory and Goblet Cells	FFAR4 high Macrophages	AZGP1 SCGB3A1 LTF high Goblet Cells	HOPX high Squamous Cells	Plasmacytoid DCs	Enteroendocrine Cells	Early Response Secretory Cells	VEGFA high Squamous Cells	Interferon Responsive Cytotoxic CD8 T Cells	Interferon Responsive Secretory Cells	Mast Cells
ABCB11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	221.650704923943	1	1	1	1	1	1	273.615302245187	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCB4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCB5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCB6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCB7	1	1	1	1	1	375.070269381142	1	1	1	1	1	1	1	1	1	1	1	121.541151096404	1	1	1	1	1	1	178.414316990469	1	1	1	165.624901665389	1	396.256916996047	1	1	337.196821547906	1	1	1	1
ABCB8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	7884.94148105147	313.925782207446	1	641.528525698957	1	1	1	826.082508250825	1	5726.98795097837	1	1	1	1719.21305841924	1
ABCB9	1	503.661207156003	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
ABCC1	1	355.086286923247	614.974824218114	1	1	1	1	540.970000396282	1	1	1203.8722183572	1147.46889845823	1	622.266219794879	1	1	1087.54016688482	586.712174278237	801.14409429788	1	1	1	1	1	462.565793260766	379.293035561785	686.964640866364	1666.32727754572	274.212786516179	1	826.082508250825	1	1	535.278948038343	336.855010412609	1	1	1
ABCC10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1042.19489195269	215.704024785823	1	1	1	1	1	1	323.757222017289	1	842.893905024243	898.812786153318	271.208797942913	1	1	1	1	150.849778723988	1	600.622339402619	1	1
ABCC11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
