"","Inflammatory.Macrophages","HOPX.high.Squamous.Cells","Basal.Cells","AZGP1.SCGB3A1.LTF.high.Goblet.Cells","Interferon.Responsive.Secretory.Cells","ITGAX.high.Macrophages","Interferon.Responsive.Cytotoxic.CD8.T.Cells","VEGFA.high.Squamous.Cells","Interferon.Responsive.Ciliated.Cells"
"ENSG00000102230",0.0118142295481724,0.105957274652948,0.00199763274839022,0.0861917047002035,0.0440185276355092,3.25830921593926e-05,0.350377178579973,0.00199763274839022,0.0208428536109451
"ENSG00000102241",0.662569701911833,0.706636631932547,0.574356019094198,0.233655796536957,0.862673046727988,0.266135179286553,0.293358592377608,0.613855791268312,1
"ENSG00000102243",0.27417930076692,0.293358592377608,0.0506712879011351,0.0700753047816204,0.163815945394852,0.096723137720756,0.0854881741944781,0.0716218234693981,0.417141437142531
"ENSG00000102265",0.0087207055264509,0.266911027331621,0.0100957118828226,0.000854541368107862,0.149848557480442,0.0131167303794727,0.011623377090113,0.0100957118828226,0.0604198962156482
"ENSG00000102287",0.490570675311657,0.0483518642946537,0.0776455228941633,0.310754976066712,0.116339458861796,0.672236435112877,0.872288363084034,0.0776455228941633,0.709214625773305
"ENSG00000102302",0.27417930076692,0.686570584150372,0.498526210519246,0.490570675311657,0.509369688809352,0.14930422965473,0.97864147885784,0.498526210519246,0.325894941012842
"ENSG00000102309",0.0561200478450902,0.350377178579973,0.0659200550448311,0.426175240083245,0.17856077880913,0.00580720014141413,0.589150557249191,0.0906863459869455,0.150901499292486
"ENSG00000102312",0.174385191716357,0.241865561477893,0.260136952941553,0.326087402946485,0.194088554513999,0.14930422965473,0.686570584150372,0.210445401571026,0.234540067095194
"ENSG00000102313",0.157547095835834,0.55080394888199,0.265604558234748,0.416219406578996,0.469101835042241,0.0549073982701444,0.925157824485384,0.239622380964938,0.339135921562963
"ENSG00000102316",0.0731216379601429,0.515307485611686,0.0100957118828225,0.0243337975387068,0.290173575781186,0.0003050600063487,0.279960573486871,0.013376145945041,0.0955652183531543
"ENSG00000102317",0.240152202571524,0.0269293105867051,0.716531455765061,0.509717212840556,0.0364754244037681,0.870489829053713,0.533389658788904,0.654298985497069,0.298089220903039
"ENSG00000102349",0.104588601594521,0.013275877464573,0.0277802600707998,0.179847045399238,0.0171330348452198,0.272698101231711,0.666684498280762,0.0221388695011191,0.0766523333397826
"ENSG00000102359",0.828004273108697,0.608212031580995,0.177197391345227,0.153563290655135,0.789903906035232,0.723128012702154,0.335615441939357,0.198979962224475,0.65003396549758
"ENSG00000102362",0.0198722635922883,0.0979083947126234,0.00723240434469076,0.0119595786082467,0.0475209398815461,0.00805855428657589,0.105026774288487,0.00517126832543711,0.0364754244037681
"ENSG00000102383",0.74960004264657,1,0.273512710489655,0.281291965102099,0.76936244408956,0.168471006604619,0.365470183682198,0.345993661494477,0.978836500144194
"ENSG00000102384",0.862084053251338,0.914691642648627,0.716531455765061,0.896376247789791,0.759140583555186,0.733435494001722,0.365470183682198,0.823611353266703,0.519248247554982
"ENSG00000102387",0.509717212840556,0.013275877464573,0.427429867987261,0.919329824440967,0.0364754244037681,0.574239972908278,0.830184743518939,0.330761944057365,0.433440737611615
"ENSG00000102390",0.318371544517328,0.872288363084034,0.51706246955549,0.839337385549216,0.573023323688132,0.0366809764940417,0.666684498280762,0.498526210519246,0.160145437255259
"ENSG00000102393",0.0080503107949131,0.0192482792791142,0.00869589170385726,0.10458860159452,0.0060455389332126,0.0254810609537726,0.129372166165112,0.00869589170385726,0.0352869812200622
"ENSG00000102401",0.44414499800451,0.445725659891341,0.330761944057365,0.310754976066712,0.416037315053587,0.89195498013607,0.515307485611686,0.377529481125095,0.325894941012842
"ENSG00000102409",0.589340091626072,0.809275856813226,0.0977163661397236,0.38282520412604,0.509369688809352,0.0114567316577405,0.809275856813226,0.120914016593328,0.340297614181904
"ENSG00000102445",0.0487287262108179,0.229872665269097,0.00371142682047812,0.0178435557934578,0.120235349024061,0.00860089178085371,0.0625339131400846,0.00632791500737073,0.179664876580011
